
,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Ryan Dinwiddie*,Boise State,WAC,14,276,446,61.9,4356,9.8,10.5,31,7,163.7,81,43,0.5,12,ryan-dinwiddie-1
2,Bradlee Van Pelt*,Colorado State,MWC,13,180,297,60.6,2845,9.6,8.9,19,13,153.4,170,909,5.3,10,bradlee-van-pelt-1
3,Asad Abdul-Khaliq*,Minnesota,Big Ten,13,158,250,63.2,2401,9.6,10.1,17,5,162.3,88,370,4.2,4,asad-abdul-khaliq-1
4,Philip Rivers*,North Carolina State,ACC,13,348,483,72.0,4491,9.3,10.1,34,7,170.5,78,109,1.4,3,philip-rivers-1
5,Ben Roethlisberger*,Miami (OH),MAC,14,342,495,69.1,4486,9.1,9.6,37,10,165.8,67,111,1.7,3,ben-roethlisberger-1
6,Bill Whittemore*,Kansas,Big 12,10,159,263,60.5,2385,9.1,9.4,18,6,154.7,127,534,4.2,10,bill-whittemore-1
7,Jim Sorgi*,Wisconsin,Big Ten,12,140,248,56.5,2251,9.1,8.8,17,9,148.1,67,-10,-0.1,2,jim-sorgi-1
8,Rod Rutherford*,Pitt,Big East,13,247,413,59.8,3679,8.9,9.2,37,14,157.4,136,150,1.1,2,rod-rutherford-1
9,Matt Leinart*,USC,Pac-10,13,255,402,63.4,3556,8.8,9.7,38,9,164.5,32,-62,-1.9,0,matt-leinart-1
10,Stefan Lefors*,Louisville,CUSA,13,219,357,61.3,3145,8.8,8.5,17,10,145.5,71,405,5.7,3,stefan-lefors-1
11,Kevin Kolb*,Houston,CUSA,13,220,360,61.1,3131,8.7,9.3,25,6,153.8,139,346,2.5,7,kevin-kolb-1
12,Ell Roberson*,Kansas State,Big 12,13,152,294,51.7,2545,8.7,8.5,24,12,143.2,227,975,4.3,15,ell-roberson-1
13,Jason White*,Oklahoma,Big 12,14,278,451,61.6,3846,8.5,9.3,40,10,158.1,42,-150,-3.6,1,jason-white-1
14,Scott McBrien*,Maryland,ACC,13,173,314,55.1,2672,8.5,8.9,19,6,142.7,82,259,3.2,6,scott-mcbrien-1
15,Brandon Hassell*,TCU,CUSA,10,136,240,56.7,2039,8.5,7.8,10,8,135.1,120,369,3.1,5,brandon-hassell-1
16,Charlie Frye,Akron,MAC,12,273,421,64.8,3549,8.4,8.5,22,9,148.6,111,288,2.6,7,charlie-frye-1
17,Alex Smith*,Utah,MWC,11,173,266,65.0,2247,8.4,9.1,15,3,152.3,149,452,3.0,5,alex-smith-3
18,Brian Lindgren,Idaho,Sun Belt,11,147,246,59.8,2077,8.4,8.2,15,8,144.3,15,-42,-2.8,0,brian-lindgren-1
19,Bruce Gradkowski,Toledo,MAC,12,277,389,71.2,3210,8.3,8.9,29,7,161.5,91,504,5.5,1,bruce-gradkowski-1
20,Aaron Rodgers*,California,Pac-10,13,215,349,61.6,2903,8.3,8.8,19,5,146.6,86,210,2.4,5,aaron-rodgers-1
21,Matt Jones*,Arkansas,SEC,13,132,230,57.4,1917,8.3,8.5,18,7,147.1,96,707,7.4,8,matt-jones-1
22,Eli Manning*,Ole Miss,SEC,13,275,441,62.4,3600,8.2,8.5,29,10,148.1,48,-28,-0.6,3,eli-manning-1
23,B.J. Symons*,Texas Tech,Big 12,13,470,719,65.4,5833,8.1,8.2,52,22,151.3,79,143,1.8,5,bj-symons-1
24,Chris Rix*,Florida State,ACC,13,216,382,56.5,3107,8.1,7.8,23,13,137.9,89,130,1.5,5,chris-rix-1
25,Casey Kelly*,New Mexico,MWC,13,146,274,53.3,2223,8.1,7.7,14,9,131.7,110,231,2.1,1,casey-kelly-1
26,Bryan Randall*,Virginia Tech,Big East,13,150,245,61.2,1996,8.1,7.5,15,10,141.7,82,404,4.9,5,bryan-randall-1
27,Reggie McNeal,Texas A&amp;M,Big 12,12,113,221,51.1,1782,8.1,7.4,8,7,124.5,127,370,2.9,4,reggie-mcneal-1
28,Derek Anderson*,Oregon State,Pac-10,13,261,510,51.2,4058,8.0,6.8,24,24,124.1,57,-125,-2.2,4,derek-anderson-1
29,Rasheed Marshall*,West Virginia,Big East,12,109,215,50.7,1729,8.0,7.8,15,8,133.8,101,303,3.0,4,rasheed-marshall-1
30,Matt Mauck*,LSU,SEC,14,229,358,64.0,2825,7.9,7.7,28,14,148.2,79,97,1.2,1,matt-mauck-1
31,Kellen Clemens*,Oregon,Pac-10,13,182,304,59.9,2400,7.9,7.7,18,9,139.8,78,108,1.4,2,kellen-clemens-1
