
,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Kris Adams*,UTEP,CUSA,13,47,1070,22.8,14,,,,,47,1070,22.8,14,kris-adams-1
2,Denarius Moore*,Tennessee,SEC,13,47,981,20.9,9,7,82,11.7,1,54,1063,19.7,10,denarius-moore-1
3,Kris Durham*,Georgia,SEC,11,32,659,20.6,3,,,,,32,659,20.6,3,kris-durham-1
4,Markeith Summers,Ole Miss,SEC,12,28,575,20.5,6,1,20,20.0,0,29,595,20.5,6,markeith-summers-1
5,Greg Jones*,Navy,Ind,13,33,662,20.1,5,5,106,21.2,0,38,768,20.2,5,greg-jones-4
6,Aldrick Robinson*,SMU,CUSA,14,65,1301,20.0,14,,,,,65,1301,20.0,14,aldrick-robinson-1
7,Justin Veltung,Idaho,WAC,13,25,497,19.9,8,7,72,10.3,1,32,569,17.8,9,justin-veltung-1
8,Cobi Hamilton*,Arkansas,SEC,13,32,630,19.7,6,,,,,32,630,19.7,6,cobi-hamilton-1
9,Vincent Brown*,San Diego State,MWC,13,69,1352,19.6,10,1,-13,-13.0,0,70,1339,19.1,10,vincent-brown-3
10,Josh Boyce*,TCU,MWC,13,34,646,19.0,6,,,,,34,646,19.0,6,josh-boyce-1
11,Mark Harrison,Rutgers,Big East,12,44,829,18.8,9,,,,,44,829,18.8,9,mark-harrison-1
12,Jarius Wright*,Arkansas,SEC,13,42,788,18.8,5,1,9,9.0,0,43,797,18.5,5,jarius-wright-1
13,Danny Coale*,Virginia Tech,ACC,14,39,732,18.8,3,1,-3,-3.0,0,40,729,18.2,3,danny-coale-1
14,Tavarres King*,Georgia,SEC,12,27,504,18.7,3,,,,,27,504,18.7,3,tavarres-king-1
15,Darvin Adams*,Auburn,SEC,14,52,963,18.5,7,,,,,52,963,18.5,7,darvin-adams-1
16,Junior Hemingway*,Michigan,Big Ten,10,32,593,18.5,4,,,,,32,593,18.5,4,junior-hemingway-1
17,Marquess Wilson,Washington State,Pac-10,12,55,1006,18.3,6,,,,,55,1006,18.3,6,marquess-wilson-1
18,Nathan Palmer*,Northern Illinois,MAC,14,29,532,18.3,6,3,23,7.7,0,32,555,17.3,6,nathan-palmer-1
19,Demarco Sampson*,San Diego State,MWC,13,67,1220,18.2,8,4,11,2.8,0,71,1231,17.3,8,demarco-sampson-1
