
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Larry Johnson*,Penn State,Big Ten,13,271,2087,7.7,20,41,349,8.5,3,312,2436,7.8,23,larry-johnson-1
2,Joshua Cribbs,Kent State,MAC,10,137,1057,7.7,10,,,,,137,1057,7.7,10,joshua-cribbs-1
3,Dominique Dorsey,UNLV,MWC,12,78,568,7.3,3,1,7,7.0,0,79,575,7.3,3,dominique-dorsey-1
4,Larry Croom,UNLV,MWC,12,84,605,7.2,4,20,267,13.4,2,104,872,8.4,6,larry-croom-1
5,Shaud Williams,Alabama,SEC,13,130,921,7.1,5,21,228,10.9,0,151,1149,7.6,5,shaud-williams-1
6,Dewhitt Betterson,Troy,Ind,11,101,711,7.0,5,1,4,4.0,0,102,715,7.0,5,dewhitt-betterson-1
7,Tony Hollings*,Georgia Tech,ACC,4,92,633,6.9,11,3,36,12.0,0,95,669,7.0,11,tony-hollings-1
8,Quentin Griffin*,Oklahoma,Big 12,14,287,1884,6.6,15,35,264,7.5,3,322,2148,6.7,18,quentin-griffin-1
9,Lonta Hobbs*,TCU,CUSA,8,157,1029,6.6,12,10,42,4.2,1,167,1071,6.4,13,lonta-hobbs-1
10,Joe Alls,Bowling Green State,MAC,10,122,801,6.6,4,13,125,9.6,1,135,926,6.9,5,joe-alls-1
11,DeAngelo Williams,Memphis,CUSA,10,103,684,6.6,5,5,51,10.2,0,108,735,6.8,5,deangelo-williams-1
12,Kris Briggs,SMU,WAC,10,84,547,6.5,8,1,-4,-4.0,0,85,543,6.4,8,kris-briggs-1
13,Quincy Wilson*,West Virginia,Big East,13,140,901,6.4,6,8,36,4.5,0,148,937,6.3,6,quincy-wilson-1
14,Tatum Bell*,Oklahoma State,Big 12,11,175,1096,6.3,11,4,59,14.8,2,179,1155,6.5,13,tatum-bell-1
15,Willis McGahee*,Miami (FL),Big East,13,282,1753,6.2,28,27,355,13.1,0,309,2108,6.8,28,willis-mcgahee-1
16,Darren Sproles*,Kansas State,Big 12,13,237,1465,6.2,17,9,99,11.0,0,246,1564,6.4,17,darren-sproles-1
